Κωδικός,Περιγραφή,Μονάδα,Χρέωση,Καταμέτρηση
F2210005,ΝΕΡΟ SAN PELLEGRINO ΑΝΘΡΑΚΟΥΧΟ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (15*750ML),Bottles,19.000 ,
F2210004,ΝΕΡΟ SAN PELLEGRINO ΑΝΘΡΑΚΟΥΧΟ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (24*250ML),Bottles,96.000 ,
F2210072,ΝΕΡΟ ΚΑΡΥΔΑΣ (330ML),Carton,12.000 ,
F2210064,ΝΕΡΟ ΣΟΥΡΩΤΗ ΑΝΘΡΑΚΟΥΧΟ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΦΙΑΛΗ ΜΙΑΣ ΧΡΗΣΕΩΣ (12*750ML),Bottles,6.000 ,
F22200007,ICE CUBES ΠΑΓΟΣ MASTERICE (1.5KG),Sack,8.000 ,
F22200008,ΠΑΓΟΣ COLLINS MASTERICE (12*176G),Packet,8.000 ,
F2300006,ΧΥΜΟΣ APPLE PAGO (200ML),Bottles,103.000 ,
F2300067,ΧΥΜΟΣ CRANBERRY PAGO (200ML),Bottles,25.000 ,
F2300008,ΧΥΜΟΣ MANGO PAGO (200ML),Bottles,38.000 ,
F2300110,ΧΥΜΟΣ ORANGE PAGO (200ML),Bottles,57.000 ,
F2300112,ΧΥΜΟΣ PEACH PAGO (200ML),Bottles,51.000 ,
F2300128,ΧΥΜΟΣ PINEAPPLE PAGO (200ML),Bottles,41.000 ,
F2300010,ΧΥΜΟΣ ΑΝΑΝΑΣ AMITA 12ΤΕΜ (1L),Carton,12.000 ,
F2300149,ΧΥΜΟΣ ΑΧΛΑΔΙ PAGO (200ML),Bottles,36.000 ,
F2300012,ΧΥΜΟΣ ΒΥΣΣΙΝΟ AMITA 12ΤΕΜ (1L),Carton,12.000 ,
F2300034,ΧΥΜΟΣ ΜΗΛΟ AMITA 12ΤΕΜ (1L),Carton,12.000 ,
